Time (s),GPU Power (W),PDU Power (W)
32.1,87.58,165.0
32.3,87.58,165.0
32.4,87.58,168.0
32.6,87.59,168.0
32.7,87.59,168.0
32.9,87.59,168.0
33.0,87.59,164.0
33.1,87.59,164.0
33.3,87.59,164.0
33.4,87.59,170.0
33.6,81.36,170.0
33.7,81.36,170.0
33.9,81.36,170.0
34.0,81.36,100.0
34.1,81.36,100.0
34.3,81.36,100.0
34.4,81.36,97.0
34.6,47.62,97.0
34.7,47.62,97.0
34.8,47.62,97.0
35.0,47.62,92.0
35.1,47.62,92.0
35.3,47.62,92.0
35.4,47.62,94.0
35.6,19.12,94.0
35.7,19.12,94.0
35.8,19.12,94.0
36.0,19.12,89.0
36.1,19.12,89.0
36.3,19.12,89.0
36.4,19.12,94.0
36.5,17.88,94.0
36.7,17.88,94.0
36.8,17.88,94.0
37.0,17.88,91.0
37.1,17.88,91.0
37.3,17.88,91.0
37.4,17.88,88.0
37.5,17.58,88.0
37.7,17.58,88.0
37.8,17.95,88.0
38.0,18.51,92.0
38.1,19.33,92.0
38.3,19.66,92.0
38.4,19.95,100.0
38.5,20.45,100.0
38.7,23.52,100.0
38.8,23.64,100.0
39.0,23.64,103.0
39.1,23.64,103.0
39.2,23.64,103.0
39.4,23.64,91.0
39.5,23.64,91.0
39.7,23.64,91.0
39.8,18.52,91.0
40.0,18.52,90.0
40.1,18.52,90.0
40.2,18.52,90.0
40.4,18.52,92.0
40.5,18.52,92.0
40.7,18.52,92.0
40.8,17.68,92.0
40.9,17.68,92.0
41.1,17.68,92.0
41.2,17.68,92.0
41.4,17.68,90.0
41.5,17.68,90.0
41.7,17.68,90.0
41.8,17.41,90.0
41.9,17.41,88.0
