Time (s),GPU Power (W),PDU Power (W)
0.0,17.16,87.0
0.2,17.16,91.0
0.3,17.16,91.0
0.5,17.16,91.0
0.6,17.16,91.0
0.8,17.09,91.0
0.9,17.09,89.0
1.0,17.09,89.0
1.2,17.09,86.0
1.3,17.09,86.0
1.5,17.09,86.0
1.6,17.09,86.0
1.7,16.93,86.0
1.9,16.93,88.0
2.0,17.57,88.0
2.2,18.0,92.0
2.3,18.67,92.0
2.5,18.94,92.0
2.6,19.19,92.0
2.7,19.62,92.0
2.9,22.45,100.0
3.0,22.52,100.0
3.2,22.52,99.0
3.3,22.52,99.0
3.5,22.52,99.0
3.6,22.52,99.0
3.7,22.52,99.0
3.9,22.52,91.0
4.0,17.5,91.0
4.2,17.5,95.0
4.3,17.5,95.0
4.5,17.5,95.0
4.6,17.5,95.0
4.7,17.5,95.0
4.9,17.5,93.0
5.0,17.0,93.0
5.2,18.6,87.0
5.3,28.57,87.0
5.5,32.34,87.0
5.6,35.66,87.0
5.8,41.32,147.0
5.9,43.66,147.0
6.0,75.43,147.0
6.2,84.42,183.0
6.3,86.0,183.0
6.5,85.65,183.0
6.6,86.14,183.0
6.8,86.26,183.0
6.9,89.3,183.0
7.1,90.84,183.0
7.2,93.73,183.0
7.4,95.09,183.0
7.5,133.86,196.0
7.6,154.81,196.0
7.8,176.1,224.0
7.9,216.68,224.0
8.1,236.84,224.0
8.2,277.53,224.0
8.4,295.98,224.0
8.5,319.07,441.0
8.7,319.16,441.0
8.8,319.19,438.0
8.9,319.19,438.0
9.1,318.59,438.0
9.2,318.6,438.0
9.4,317.2,438.0
9.5,319.72,444.0
9.7,319.36,444.0
9.8,319.57,439.0
9.9,318.65,439.0
10.1,318.57,439.0
10.2,318.51,439.0
10.4,317.89,439.0
10.5,318.71,440.0
10.7,318.49,440.0
10.8,317.71,438.0
10.9,317.92,438.0
11.1,318.4,438.0
11.2,318.2,438.0
11.4,318.56,438.0
11.5,318.48,443.0
11.7,318.7,443.0
11.8,318.66,440.0
11.9,318.72,440.0
12.1,318.79,440.0
12.2,319.28,440.0
12.4,318.85,440.0
12.5,318.82,438.0
12.7,318.9,438.0
12.8,318.79,443.0
12.9,318.52,443.0
13.1,318.65,443.0
13.2,318.67,443.0
13.4,318.54,442.0
13.5,318.78,442.0
13.7,318.72,442.0
13.8,318.5,441.0
13.9,318.48,441.0
14.1,318.77,441.0
14.2,318.82,441.0
14.4,318.99,442.0
14.5,318.57,442.0
14.7,318.41,442.0
14.8,318.65,444.0
15.0,318.55,444.0
15.1,318.57,444.0
15.2,318.26,444.0
15.4,318.39,441.0
15.5,319.16,441.0
15.7,319.0,441.0
15.8,318.38,441.0
16.0,318.5,441.0
16.1,318.85,441.0
16.2,319.38,441.0
16.4,319.05,442.0
16.5,318.85,442.0
16.7,318.48,442.0
16.8,318.65,443.0
17.0,318.98,443.0
17.1,288.59,443.0
17.2,269.07,443.0
17.4,249.57,386.0
17.5,210.85,386.0
17.7,191.22,386.0
17.8,152.86,209.0
18.0,133.51,209.0
18.1,133.51,209.0
18.2,133.51,209.0
18.4,133.51,184.0
18.5,133.51,184.0
18.7,133.51,184.0
18.8,133.51,187.0
18.9,101.91,187.0
19.1,101.91,187.0
19.2,101.91,187.0
19.4,101.91,172.0
19.5,101.91,172.0
19.7,101.91,172.0
19.8,101.91,164.0
19.9,94.28,164.0
20.1,94.28,164.0
20.2,94.28,164.0
20.4,94.28,166.0
20.5,94.28,166.0
20.7,94.28,166.0
20.8,94.28,171.0
20.9,87.17,171.0
21.1,87.17,171.0
21.2,87.17,171.0
21.4,87.17,166.0
21.5,87.17,166.0
21.6,87.17,166.0
21.8,87.17,169.0
21.9,87.47,169.0
22.1,87.47,169.0
22.2,87.47,169.0
22.4,87.47,165.0
22.5,87.47,165.0
22.6,87.47,165.0
22.8,87.47,170.0
22.9,87.58,170.0
23.1,87.58,170.0
23.2,87.58,170.0
23.3,87.58,171.0
23.5,87.54,171.0
23.6,87.56,171.0
23.8,87.56,172.0
23.9,87.56,172.0
24.1,87.6,172.0
24.2,87.61,172.0
24.3,87.59,170.0
24.5,87.59,170.0
24.6,87.59,170.0
24.8,87.59,169.0
24.9,87.59,169.0
25.1,87.59,169.0
25.2,87.59,169.0
25.3,87.59,171.0
25.5,87.61,171.0
25.6,87.61,171.0
25.8,87.61,166.0
25.9,87.61,166.0
26.0,87.61,166.0
26.2,87.61,166.0
26.3,87.61,170.0
26.5,87.61,170.0
26.6,87.61,170.0
26.8,87.61,167.0
26.9,87.61,167.0
27.0,87.61,167.0
27.2,87.61,167.0
27.3,87.61,171.0
27.5,87.54,171.0
27.6,87.54,171.0
27.7,87.54,165.0
27.9,87.54,165.0
28.0,87.54,165.0
28.2,87.54,165.0
28.3,87.54,165.0
28.5,87.53,168.0
28.6,87.53,168.0
28.7,87.53,168.0
28.9,87.53,168.0
29.0,87.53,168.0
29.2,87.53,168.0
29.3,87.53,168.0
29.5,87.52,165.0
29.6,87.52,165.0
29.7,87.52,168.0
29.9,87.52,168.0
30.0,87.52,168.0
30.2,87.52,168.0
30.3,87.52,168.0
30.4,87.48,166.0
30.6,87.48,166.0
30.7,87.5,170.0
30.9,87.5,170.0
31.0,87.52,170.0
31.2,87.53,170.0
31.3,87.52,170.0
31.4,87.54,166.0
31.6,87.58,166.0
31.7,87.58,166.0
31.9,87.58,166.0
32.0,87.58,165.0
