timestamp,sensor,target,socket,cpu,RAPL_ENERGY_PKG,time_enabled,time_running
1739716867985,sensor,all,0,3,34776809472,500322226,500322226
1739716867985,sensor,all,0,11,34776809472,500325166,500325166
1739716867985,sensor,all,0,10,34776809472,500325566,500325566
1739716867985,sensor,all,0,4,34776809472,500325456,500325456
1739716867985,sensor,all,0,5,34776809472,500325226,500325226
1739716867985,sensor,all,0,6,34776809472,500324956,500324956
1739716867985,sensor,all,0,7,34776809472,500326216,500326216
1739716867985,sensor,all,0,8,34776809472,500326696,500326696
1739716867985,sensor,all,0,9,34776809472,500325706,500325706
1739716867985,sensor,all,0,0,34776809472,500324306,500324306
1739716867985,sensor,all,0,1,34776809472,500321646,500321646
1739716867985,sensor,all,0,2,34776809472,500321406,500321406
1739716868486,sensor,all,0,3,37004050432,1000648031,1000648031
1739716868486,sensor,all,0,11,37004050432,1000651741,1000651741
1739716868486,sensor,all,0,10,37004050432,1000652641,1000652641
1739716868486,sensor,all,0,4,37004050432,1000652361,1000652361
1739716868486,sensor,all,0,5,37004050432,1000652161,1000652161
1739716868486,sensor,all,0,6,37004050432,1000651421,1000651421
1739716868486,sensor,all,0,7,37004050432,1000650281,1000650281
1739716868486,sensor,all,0,8,37004050432,1000648941,1000648941
1739716868486,sensor,all,0,9,37004050432,1000647451,1000647451
1739716868486,sensor,all,0,0,37004050432,1000645881,1000645881
1739716868486,sensor,all,0,1,37004050432,1000644761,1000644761
1739716868486,sensor,all,0,2,37004050432,1000659851,1000659851
1739716868986,sensor,all,0,3,30845435904,1501024026,1501024026
1739716868986,sensor,all,0,11,30845435904,1501029696,1501029696
1739716868986,sensor,all,0,10,30845435904,1501032416,1501032416
1739716868986,sensor,all,0,4,30845435904,1501031486,1501031486
1739716868986,sensor,all,0,5,30845435904,1501032766,1501032766
1739716868986,sensor,all,0,6,30845435904,1501032896,1501032896
1739716868986,sensor,all,0,7,30845435904,1501033846,1501033846
1739716868986,sensor,all,0,8,30845435904,1501035606,1501035606
1739716868986,sensor,all,0,9,31904825344,1501035976,1501035976
1739716868986,sensor,all,0,0,31904825344,1501035036,1501035036
1739716868986,sensor,all,0,1,31904825344,1501033366,1501033366
1739716868986,sensor,all,0,2,31904825344,1501031936,1501031936
1739716869486,sensor,all,0,3,35783835648,2001334442,2001334442
1739716869486,sensor,all,0,11,35783835648,2001337292,2001337292
1739716869486,sensor,all,0,10,35783835648,2001338202,2001338202
1739716869486,sensor,all,0,4,35783835648,2001338342,2001338342
1739716869486,sensor,all,0,5,35783835648,2001337932,2001337932
1739716869486,sensor,all,0,6,35783835648,2001337142,2001337142
1739716869486,sensor,all,0,7,35783835648,2001336132,2001336132
1739716869486,sensor,all,0,8,35783835648,2001335272,2001335272
1739716869486,sensor,all,0,9,34724446208,2001333932,2001333932
1739716869486,sensor,all,0,0,34724446208,2001332232,2001332232
1739716869486,sensor,all,0,1,34724446208,2001329662,2001329662
1739716869486,sensor,all,0,2,34724446208,2001327412,2001327412
1739716869987,sensor,all,0,3,30122180608,2501735087,2501735087
1739716869987,sensor,all,0,11,30122180608,2501741337,2501741337
1739716869987,sensor,all,0,10,30122180608,2501744977,2501744977
1739716869987,sensor,all,0,4,30122180608,2501743867,2501743867
1739716869987,sensor,all,0,5,30122180608,2501745977,2501745977
1739716869987,sensor,all,0,6,30122180608,2501746867,2501746867
1739716869987,sensor,all,0,7,30122180608,2501747507,2501747507
1739716869987,sensor,all,0,8,30122180608,2501750177,2501750177
1739716869987,sensor,all,0,9,30122180608,2501749647,2501749647
1739716869987,sensor,all,0,0,30122180608,2501748847,2501748847
1739716869987,sensor,all,0,1,30122180608,2501747257,2501747257
1739716869987,sensor,all,0,2,30122180608,2501745787,2501745787
1739716870487,sensor,all,0,3,31960334336,3002136342,3002136342
1739716870487,sensor,all,0,11,31960334336,3002142093,3002142093
1739716870487,sensor,all,0,10,31960334336,3002145583,3002145583
1739716870487,sensor,all,0,4,31960334336,3002143983,3002143983
1739716870487,sensor,all,0,5,31960334336,3002146203,3002146203
1739716870487,sensor,all,0,6,31960334336,3002146833,3002146833
1739716870487,sensor,all,0,7,31960334336,3002147233,3002147233
1739716870487,sensor,all,0,8,31960334336,3002148953,3002148953
1739716870487,sensor,all,0,9,31960334336,3002150913,3002150913
1739716870487,sensor,all,0,0,31960334336,3002151003,3002151003
1739716870487,sensor,all,0,1,31960334336,3002149583,3002149583
1739716870487,sensor,all,0,2,31960334336,3002148043,3002148043
1739716870987,sensor,all,0,3,35140009984,3502559078,3502559078
1739716870987,sensor,all,0,11,35140009984,3502561898,3502561898
1739716870987,sensor,all,0,10,35140009984,3502562678,3502562678
1739716870987,sensor,all,0,4,35140009984,3502562698,3502562698
1739716870987,sensor,all,0,5,35140009984,3502562288,3502562288
1739716870987,sensor,all,0,6,35140009984,3502561628,3502561628
1739716870987,sensor,all,0,7,35140009984,3502560638,3502560638
1739716870987,sensor,all,0,8,35140009984,3502559788,3502559788
1739716870987,sensor,all,0,9,35140009984,3502558608,3502558608
1739716870987,sensor,all,0,0,35140009984,3502556788,3502556788
1739716870987,sensor,all,0,1,35140009984,3502554178,3502554178
1739716870987,sensor,all,0,2,35140009984,3502551578,3502551578
1739716871488,sensor,all,0,3,26886144000,4002913663,4002913663
1739716871488,sensor,all,0,11,26886144000,4002916833,4002916833
1739716871488,sensor,all,0,10,32772521984,4002916763,4002916763
1739716871488,sensor,all,0,4,32772521984,4002917023,4002917023
1739716871488,sensor,all,0,5,32772521984,4002916013,4002916013
1739716871488,sensor,all,0,6,32772521984,4002915353,4002915353
1739716871488,sensor,all,0,7,32772521984,4002914853,4002914853
1739716871488,sensor,all,0,8,32772521984,4002915313,4002915313
1739716871488,sensor,all,0,9,32772521984,4002913713,4002913713
1739716871488,sensor,all,0,0,32772521984,4002911723,4002911723
1739716871488,sensor,all,0,1,32772521984,4002908593,4002908593
1739716871488,sensor,all,0,2,32772521984,4002905603,4002905603
1739716871988,sensor,all,0,3,34411577344,4503267529,4503267529
1739716871988,sensor,all,0,11,28525199360,4503271559,4503271559
1739716871988,sensor,all,0,10,28525199360,4503272459,4503272459
1739716871988,sensor,all,0,4,28525199360,4503272299,4503272299
1739716871988,sensor,all,0,5,28525199360,4503271979,4503271979
